Date,Open,High,Low,Close,Adj Close,Volume
2014-09-02,244.000000,246.000000,243.500000,244.750000,242.844986,105487
2014-09-03,245.500000,247.770004,244.873001,245.000000,243.093033,109929
2014-09-04,247.000000,248.278000,245.875000,246.500000,244.581360,86113
2014-09-05,246.500000,247.917999,244.750000,245.250000,243.341064,92304
2014-09-08,247.000000,247.000000,244.500000,244.500000,242.596924,127314
2014-09-09,245.250000,246.690002,243.500000,243.500000,241.604691,115574
2014-09-10,243.250000,245.169998,241.250000,241.250000,239.372208,79357
2014-09-11,242.750000,244.000000,241.500000,241.500000,239.620270,38846
2014-09-12,243.500000,245.500000,243.500000,245.000000,243.093033,74646
2014-09-15,243.000000,244.645004,241.250000,242.000000,240.116364,141798
2014-09-16,243.500000,243.500000,239.121994,243.000000,241.108582,105674
2014-09-17,243.500000,244.250000,241.500000,242.500000,240.612488,101431
2014-09-18,240.750000,242.602997,240.500000,241.000000,239.124146,74365
2014-09-19,245.750000,246.000000,244.320007,246.000000,244.085236,105044
2014-09-22,243.000000,244.750000,241.617996,243.000000,241.108582,70182
2014-09-23,241.250000,242.000000,236.000000,236.000000,234.163086,178691
2014-09-24,236.500000,239.500000,236.250000,237.250000,235.403351,65425
2014-09-25,238.000000,239.750000,236.500000,236.750000,234.907227,76142
2014-09-26,236.500000,238.485001,236.000000,238.000000,236.147507,72546
2014-09-29,238.000000,239.750000,237.500000,239.000000,237.139725,78416
2014-09-30,239.500000,239.500000,237.750000,239.000000,237.139725,75934
2014-10-01,237.750000,238.147995,234.000000,234.000000,232.178650,158212
2014-10-02,235.000000,235.270004,231.250000,231.250000,229.450027,101541
2014-10-03,233.750000,237.250000,232.889999,234.750000,232.922806,158325
2014-10-06,236.000000,237.500000,234.500000,237.500000,235.651413,80358
2014-10-07,234.000000,236.057007,232.964996,235.000000,233.170868,95676
2014-10-08,230.000000,233.000000,230.000000,230.250000,228.457840,132081
2014-10-09,234.750000,234.750000,231.520004,232.000000,230.194214,51754
2014-10-10,230.000000,231.438004,227.899994,229.000000,227.217560,129007
2014-10-13,225.250000,230.449997,225.250000,228.250000,226.473389,95067
2014-10-14,226.750000,229.813004,225.750000,227.500000,225.729248,66065
2014-10-15,227.250000,229.880005,222.000000,222.250000,220.520096,46299
2014-10-16,224.250000,227.067993,221.990005,226.000000,224.240906,166771
2014-10-17,229.500000,230.473007,226.750000,229.750000,227.961731,109389
2014-10-20,230.000000,232.438004,227.500000,227.500000,225.729248,74340
2014-10-21,231.500000,234.000000,229.190002,234.000000,232.178650,65456
2014-10-22,235.000000,238.419998,232.725006,237.500000,235.651413,103844
2014-10-23,237.000000,239.500000,235.212997,239.500000,237.635834,72545
2014-10-24,238.000000,239.000000,236.500000,239.000000,237.139725,93693
2014-10-27,238.250000,239.500000,237.250000,239.500000,237.635834,22859
2014-10-28,238.000000,238.524994,233.750000,237.000000,235.155289,90805
2014-10-29,240.250000,241.500000,238.000000,241.500000,239.620270,42503
2014-10-30,239.000000,243.214996,238.250000,239.500000,237.635834,64176
2014-10-31,242.000000,244.000000,241.000000,241.000000,239.124146,86070
2014-11-03,241.000000,243.785004,241.000000,241.000000,239.124146,93522
2014-11-04,238.000000,242.475006,238.000000,238.000000,236.147507,73708
2014-11-05,241.865005,243.429993,240.287994,242.750000,240.860535,76801
2014-11-06,242.750000,243.839005,241.014999,243.000000,241.108582,34356
2014-11-07,244.000000,244.410004,241.128006,243.000000,241.108582,85614
2014-11-10,244.250000,245.250000,242.520004,245.250000,243.341064,96362
2014-11-11,244.850006,246.014999,243.529999,244.625000,242.720932,67245
2014-11-12,242.750000,245.960007,242.250000,243.750000,241.852768,41359
2014-11-13,247.000000,247.000000,243.500000,247.000000,245.077454,71285
2014-11-14,246.250000,246.500000,243.250000,244.000000,242.100800,54795
2014-11-17,246.000000,246.000000,243.000000,245.000000,243.093033,111792
2014-11-18,246.250000,246.750000,244.029999,246.750000,244.829391,69269
2014-11-19,245.750000,246.750000,244.250000,246.750000,244.829391,104744
2014-11-20,243.750000,246.250000,243.300003,245.750000,243.837204,76134
2014-11-21,246.750000,249.250000,244.520004,249.250000,247.309952,78521
2014-11-24,246.750000,249.250000,246.250000,248.750000,246.813828,73116
2014-11-25,247.500000,249.000000,246.649994,249.000000,247.061905,57050
2014-11-26,249.000000,249.000000,247.250000,247.250000,245.325500,55131
2014-11-27,246.500000,247.000000,244.500000,246.500000,244.581360,93877
2014-11-28,246.000000,249.000000,245.050003,249.000000,247.061905,86375
2014-12-01,246.750000,246.912994,245.100006,246.500000,244.581360,39280
2014-12-02,244.500000,249.837997,244.500000,249.500000,247.557983,119318
2014-12-03,248.500000,248.500000,245.000000,245.000000,243.093033,58405
2014-12-04,245.500000,247.460007,244.500000,244.500000,242.596924,68412
2014-12-05,245.000000,247.119995,245.000000,245.000000,243.093033,65387
2014-12-08,245.250000,246.475006,243.500000,243.500000,241.604691,81537
2014-12-09,240.500000,244.735001,240.500000,241.000000,239.124146,87868
2014-12-10,241.750000,244.500000,240.500000,240.500000,238.628052,70445
2014-12-11,240.000000,242.000000,238.475006,239.000000,237.139725,82996
2014-12-12,238.000000,238.100006,235.250000,238.000000,236.147507,122821
2014-12-15,236.500000,237.509995,234.000000,234.000000,232.178650,67763
2014-12-16,235.000000,237.324997,234.000000,235.750000,233.915024,96073
2014-12-17,234.000000,237.000000,234.000000,235.000000,233.170868,52020
2014-12-18,238.000000,240.738007,237.000000,237.000000,235.155289,57293
2014-12-19,241.750000,243.500000,241.250000,243.500000,241.604691,106883
2014-12-22,243.500000,253.500000,243.500000,252.625000,250.658691,213970
2014-12-23,252.000000,254.697998,251.000000,251.000000,249.046326,43674
2014-12-24,252.649994,253.475998,251.600006,253.375000,251.402847,22958
2014-12-29,252.160004,252.160004,248.802994,250.500000,248.550201,19868
2014-12-30,248.500000,249.744995,248.000000,248.000000,246.069687,113483
2014-12-31,250.000000,250.000000,248.729996,249.625000,247.682037,18996
2015-01-02,249.750000,249.750000,248.000000,249.750000,247.806061,25059
2015-01-05,245.250000,246.759995,242.500000,244.000000,242.100800,26825
2015-01-06,244.000000,244.000000,240.949997,244.000000,242.100800,89136
2015-01-07,241.595001,244.158005,241.529999,242.375000,240.488464,49667
2015-01-08,246.250000,248.050003,244.149994,247.750000,245.821609,31716
2015-01-09,248.250000,248.500000,243.000000,243.000000,241.108582,49012
2015-01-12,245.000000,246.057007,243.800003,243.625000,241.728714,63776
2015-01-13,245.000000,246.500000,243.000000,245.125000,243.217056,58526
2015-01-14,241.750000,244.250000,238.000000,238.000000,236.147507,94767
2015-01-15,242.000000,244.167007,239.000000,241.125000,239.248199,56750
2015-01-16,239.000000,242.000000,238.942993,242.000000,240.116364,128320
2015-01-19,242.250000,243.500000,239.764999,243.500000,241.604691,51518
2015-01-20,244.000000,244.757996,242.000000,244.000000,242.100800,97308
2015-01-21,245.500000,247.000000,242.091003,247.000000,245.077454,67505
2015-01-22,247.250000,248.000000,245.464996,248.000000,246.069687,23489
2015-01-23,250.000000,252.750000,247.589996,251.000000,249.046326,68683
2015-01-26,248.000000,250.050003,246.998001,247.000000,245.077454,55499
2015-01-27,248.000000,249.250000,246.500000,249.250000,247.309952,58473
2015-01-28,246.500000,249.000000,246.250000,249.000000,247.061905,48779
2015-01-29,245.000000,247.100006,245.000000,245.000000,243.093033,46211
2015-01-30,246.000000,249.000000,245.429001,249.000000,247.061905,88363
2015-02-02,247.750000,248.000000,245.000000,248.000000,246.069687,69634
2015-02-03,249.750000,249.750000,246.175003,247.000000,245.077454,95785
2015-02-04,247.250000,247.283005,244.500000,244.500000,242.596924,61961
2015-02-05,245.250000,245.750000,243.000000,245.750000,243.837204,91799
2015-02-06,245.250000,245.250000,243.192993,244.625000,242.720932,75357
2015-02-09,242.250000,243.449997,240.404007,242.750000,240.860535,125123
2015-02-10,241.250000,243.500000,240.677994,241.000000,239.124146,88352
2015-02-11,243.000000,243.250000,240.656998,243.250000,241.356644,73439
2015-02-12,242.000000,243.250000,240.500000,240.500000,238.628052,91883
2015-02-13,242.500000,244.000000,240.794998,241.000000,239.124146,103965
2015-02-16,243.750000,244.000000,240.723999,242.125000,240.240417,60634
2015-02-17,242.000000,242.750000,239.750000,242.250000,240.364426,55720
2015-02-18,243.250000,243.250000,240.630005,243.250000,241.356644,41747
2015-02-19,243.000000,243.000000,241.000000,242.500000,240.612488,69385
2015-02-20,242.750000,243.225006,240.149994,243.000000,241.108582,48664
2015-02-23,244.750000,245.000000,241.000000,241.000000,239.124146,100401
2015-02-24,242.000000,243.182999,240.615005,241.500000,239.620270,126153
2015-02-25,241.500000,243.259995,240.250000,240.250000,238.380005,57328
2015-02-26,240.250000,244.000000,239.750000,240.000000,238.131943,94168
2015-02-27,243.000000,243.500000,240.500000,240.500000,238.628052,98097
2015-03-02,240.750000,243.750000,240.500000,240.500000,238.628052,177059
2015-03-03,242.000000,245.500000,241.250000,241.250000,239.372208,231883
2015-03-04,243.475006,243.475006,241.289993,242.125000,240.240417,97244
2015-03-05,241.000000,242.000000,239.000000,239.000000,237.139725,96604
2015-03-06,240.500000,241.369995,238.714996,239.000000,237.139725,206914
